Date,Open,High,Low,Close,ChannelLow,ChannelHigh,PivotType,PivotValue
2024-01-26 12:30:00,158.25,159.17,157.79,159.08,-2281.323055939586,-1853.7288046849521,Undefined,0
2024-01-26 13:00:00,159.19,160.58,159.0,160.1,-2263.781357605589,-1839.715044509756,High,160.581
2024-01-26 13:30:00,160.0,160.01,158.41,158.5,-2246.2396592715922,-1825.7012843345601,Undefined,0
2024-01-26 14:00:00,158.39,159.07,158.36,159.03,-2228.6979609375953,-1811.6875241593639,Undefined,0
2024-01-26 14:30:00,158.98,158.99,157.42,157.69,-2211.1562626035984,-1797.6737639841679,Undefined,0
2024-01-26 15:00:00,157.85,158.52,157.56,158.38,-2193.6145642696015,-1783.6600038089719,Undefined,0
2024-01-26 15:30:00,158.45,158.65,158.19,158.27,-2176.0728659356046,-1769.6462436337758,Undefined,0
2024-01-26 16:00:00,158.4,158.7,157.92,158.41,-2158.531167601608,-1755.6324834585798,Undefined,0
2024-01-26 16:30:00,158.41,158.44,156.72,156.73,-2140.989469267611,-1741.6187232833838,Low,156.719
2024-01-26 17:00:00,156.86,157.88,156.84,157.83,-2123.4477709336143,-1727.6049631081878,Undefined,0
2024-01-26 17:30:00,157.74,158.89,157.74,158.83,-2105.9060725996173,-1713.5912029329918,Undefined,0
2024-01-26 18:00:00,158.86,159.21,157.85,157.9,-2088.3643742656204,-1699.5774427577958,Undefined,0
2024-01-26 18:30:00,157.93,158.38,157.79,157.93,-2070.8226759316235,-1685.5636825825998,Undefined,0
2024-01-26 19:00:00,157.97,158.46,157.6,158.36,-2053.2809775976266,-1671.5499224074038,Undefined,0
2024-01-26 19:30:00,158.48,158.84,158.17,158.17,-2035.7392792636301,-1657.5361622322077,Undefined,0
2024-01-26 20:00:00,158.3,159.48,158.12,159.34,-2018.1975809296332,-1643.5224020570117,Undefined,0
2024-01-26 20:30:00,159.25,159.64,158.39,159.32,-2000.6558825956363,-1629.5086418818157,Undefined,0
2024-01-26 21:00:00,159.23,159.36,158.49,158.49,-1983.1141842616394,-1615.4948817066197,Undefined,0
2024-01-26 21:30:00,158.48,159.78,158.28,158.78,-1965.5724859276424,-1601.4811215314237,Undefined,0
2024-01-26 22:00:00,158.94,158.95,158.08,158.56,-1948.0307875936458,-1587.4673613562277,Undefined,0
2024-01-26 22:30:00,158.79,158.95,158.29,158.95,-1930.4890892596488,-1573.4536011810317,Undefined,0
2024-01-26 23:00:00,159.02,159.34,158.85,159.04,-1912.9473909256521,-1559.4398410058357,Undefined,0
2024-01-26 23:30:00,159.0,159.48,158.84,159.22,-1895.4056925916552,-1545.4260808306396,Undefined,0
2024-01-27 00:00:00,159.5,159.78,159.5,159.76,-1877.8639942576583,-1531.4123206554436,Undefined,0
2024-01-27 00:30:00,159.8,159.91,159.8,159.9,-1860.3222959236614,-1517.3985604802476,High,159.911
2024-01-27 01:00:00,159.32,159.82,159.0,159.0,-1842.7805975896645,-1503.3848003050516,Undefined,0
2024-01-27 01:30:00,158.95,158.95,158.44,158.63,-1825.2388992556678,-1489.3710401298556,Undefined,0
2024-01-27 02:00:00,158.61,158.61,158.24,158.51,-1807.6972009216709,-1475.3572799546596,Undefined,0
